"id","machine","completed","name","description"
1,"Washer 1",True,"Visible contamination in heater tanks","Visible contamination in heater tanks"
2,"Washer 1",False,"Visible contamination in heater tanks","Visible contamination in heater tanks"
3,"Washer 1",False,"Noise from motors/chains","Noise from motors/chains"
4,"Washer 1",False,"this is another new task","this is another new task"
5,"Secondary Seal",True,"Crane pendent not twisted","Crane pendent not twisted h"
6,"STL",False,"Glass Chips","Glass Chips"
7,"STL",False,"Harp alignment to backboard","Harp alignment to backboard"
8,"STL",True,"Glass tracking into harp","Glass tracking into harp"
9,"STL",False,"Glass Hitting Strings","Glass Hitting Strings"
10,"STL",False,"Shavings On Plastic Covers Over Strings","Shavings On Plastic Covers Over Strings"
